source,title,link,published,index
Kommersant,Лавров: Россия предлагает США избежать гонки вооружений,https://www.kommersant.ru/doc/8077324,"Sat, 27 Sep 2025 19:37:19 +0300",34
Kommersant,Лавров назвал «саботажем» отказ Совбеза ООН продлить иранскую сделку,https://www.kommersant.ru/doc/8077323,"Sat, 27 Sep 2025 19:32:21 +0300",35
Kommersant,Лавров осудил удары по Ирану и Катару,https://www.kommersant.ru/doc/8077322,"Sat, 27 Sep 2025 19:26:41 +0300",36
Kommersant,Лавров: действия Израиля грозят взорвать весь Ближний Восток,https://www.kommersant.ru/doc/8077321,"Sat, 27 Sep 2025 19:26:10 +0300",37
Kommersant,Лавров: Россия по-прежнему открыта к переговорам по Украине,https://www.kommersant.ru/doc/8077320,"Sat, 27 Sep 2025 19:24:45 +0300",38
Kommersant,Трамп поручил направить войска для защиты Портленда от движения «Антифа»,https://www.kommersant.ru/doc/8077317,"Sat, 27 Sep 2025 18:30:23 +0300",39
Interfax,"Четыре гола Глушенкова помогли ""Зениту"" разгромить ""Оренбург""",https://www.sport-interfax.ru/1049671,"Sat, 27 Sep 2025 21:37:00 +0300",40
Interfax,"Три человека, включая подростка, пострадали в результате обстрела Белгорода",https://www.interfax.ru/russia/1049670,"Sat, 27 Sep 2025 21:15:00 +0300",41
Interfax,"""Краснодар"" сыграл вничью с ""Ростовом"" в матче РПЛ",https://www.sport-interfax.ru/1049669,"Sat, 27 Sep 2025 21:01:00 +0300",42
Interfax,Лавров сообщил о договоренности с Рубио о третьем раунде консультаций осенью,https://www.interfax.ru/russia/1049668,"Sat, 27 Sep 2025 20:56:00 +0300",43
Interfax,Лавров заявил о стремлении Запада экономически удушить Тегеран,https://www.interfax.ru/russia/1049667,"Sat, 27 Sep 2025 20:53:00 +0300",44
Interfax,"Что произошло за день: суббота, 27 сентября",https://www.interfax.ru/russia/1049665,"Sat, 27 Sep 2025 20:30:00 +0300",45
Interfax,В России не видят отхода США от курса на ведение честного диалога,https://www.interfax.ru/russia/1049666,"Sat, 27 Sep 2025 20:23:00 +0300",46
Interfax,"""Ливерпуль"" впервые проиграл в сезоне в АПЛ",https://www.sport-interfax.ru/1049663,"Sat, 27 Sep 2025 19:41:00 +0300",47
Interfax,"""Атлетико"" разгромил ""Реал"" в чемпионате Испании по футболу",https://www.sport-interfax.ru/1049662,"Sat, 27 Sep 2025 19:33:00 +0300",48
Interfax,Глава МИД РФ назвал реализацию предложения по ДСНВ возможностью избежать гонки вооружений,https://www.interfax.ru/russia/1049661,"Sat, 27 Sep 2025 19:27:00 +0300",49
Interfax,"Лавров заявил, что у Киева и европейцев не видно готовности договариваться о мире по-честному",https://www.interfax.ru/russia/1049660,"Sat, 27 Sep 2025 19:24:00 +0300",50
Interfax,Минобороны РФ сообщило о поражении семи беспилотников ВСУ над тремя регионами,https://www.interfax.ru/russia/1049659,"Sat, 27 Sep 2025 18:58:00 +0300",51
Interfax,На Цветном бульваре в Москве восстановили движение после детского велофестиваля,https://www.interfax.ru/moscow/1049658,"Sat, 27 Sep 2025 18:53:00 +0300",52
Interfax,"Кириенко заявил о мировом лидерстве ""Росатома"" в атомной отрасли",https://www.interfax.ru/business/1049657,"Sat, 27 Sep 2025 18:53:00 +0300",53
Interfax,"""Локомотив"" выиграл у ""Рубина"" и вышел на первое место в РПЛ",https://www.sport-interfax.ru/1049656,"Sat, 27 Sep 2025 18:24:00 +0300",54
Interfax,Президент Ирана отверг требования США выдать обогащенный уран в обмен на трехмесячную отсрочку санкций,https://www.interfax.ru/world/1049655,"Sat, 27 Sep 2025 17:49:00 +0300",55
Interfax,"""Ак Барс"" прервал пятиматчевую серию побед ""Металлурга"" в КХЛ",https://www.sport-interfax.ru/1049654,"Sat, 27 Sep 2025 17:47:00 +0300",56
Interfax,Роспотребнадзор отправил Турции запрос в связи с массовым отравлением в отеле,https://www.interfax.ru/russia/1049653,"Sat, 27 Sep 2025 16:27:00 +0300",57
Interfax,Сход селя в горах Дагестана оставил без транспортного сообщения 19 сел,https://www.interfax.ru/russia/1049652,"Sat, 27 Sep 2025 16:02:00 +0300",58
TASS,Захарова: РФ приняла к сведению слова Вучича о ревизии поставок сербской продукции,https://tass.ru/politika/24134697,"Wed, 04 Jun 2025 14:18:01 +0300",59
TASS,Нижегородская область и ЦБ будут сотрудничать в сфере повышения финансовой грамотности,https://tass.ru/ekonomika/24134627,"Wed, 04 Jun 2025 14:17:03 +0300",60
TASS,МИД Ирана не пойдет на сделку с США без сохранения возможности обогащения урана,https://tass.ru/mezhdunarodnaya-panorama/24134665,"Wed, 04 Jun 2025 14:15:43 +0300",61
TASS,В Магаданской области объявили чрезвычайную пожарную опасность,https://tass.ru/obschestvo/24134601,"Wed, 04 Jun 2025 14:12:58 +0300",62
TASS,На арктическом форуме в Архангельске обсудят развитие автотуризма,https://tass.ru/obschestvo/24134589,"Wed, 04 Jun 2025 14:11:16 +0300",63
TASS,В РФ первые пять месяцев 2025 года стали самыми теплыми за всю историю наблюдений,https://tass.ru/obschestvo/24132977,"Wed, 04 Jun 2025 14:09:34 +0300",64
TASS,Генеративный ИИ научили определять расстояния между генами в нитях ДНК,https://tass.ru/nauka/24134535,"Wed, 04 Jun 2025 14:09:31 +0300",65
TASS,На Викторию Боню составили протокол по делу о пропаганде наркотиков,https://tass.ru/proisshestviya/24134595,"Wed, 04 Jun 2025 14:09:03 +0300",66
TASS,РЖД: погибший под Брянском машинист до конца исполнил свой долг,https://tass.ru/obschestvo/24134521,"Wed, 04 Jun 2025 14:08:48 +0300",67
TASS,ДОМ.РФ и VK Tech займутся развитием ИИ-технологий для строительной отрасли,https://tass.ru/nedvizhimost/24134431,"Wed, 04 Jun 2025 14:08:39 +0300",68
TASS,Матвиенко: доступность детского спорта не должна измеряться кошельком родителей,https://tass.ru/obschestvo/24133033,"Wed, 04 Jun 2025 14:06:43 +0300",69
TASS,СФ одобрил закон об упрощенном содержании объектов культурного наследия,https://tass.ru/obschestvo/24133525,"Wed, 04 Jun 2025 14:04:29 +0300",70
TASS,Список Украины из 339 детей поступил в аппарат детского омбудсмена РФ,https://tass.ru/obschestvo/24134485,"Wed, 04 Jun 2025 14:03:57 +0300",71
TASS,"США пока не решили, продолжать или нет помощь Украине",https://tass.ru/mezhdunarodnaya-panorama/24134491,"Wed, 04 Jun 2025 14:03:52 +0300",72
TASS,"В МВД заявили, что информация о стрельбе возле ТРЦ ""Щелковский"" не поступала",https://tass.ru/proisshestviya/24133329,"Wed, 04 Jun 2025 14:02:07 +0300",73
TASS,Постпред США: вопрос вступления Украины в НАТО не подлежит обсуждению,https://tass.ru/mezhdunarodnaya-panorama/24134453,"Wed, 04 Jun 2025 14:01:14 +0300",74
TASS,"Рютте: НАТО рассматривает Черное и Балтийское моря как ""регионы альянса""",https://tass.ru/mezhdunarodnaya-panorama/24133783,"Wed, 04 Jun 2025 14:01:02 +0300",75
TASS,В ГД внесут законопроект о депортации мигрантов за проживание в подвалах,https://tass.ru/obschestvo/24133789,"Wed, 04 Jun 2025 13:59:41 +0300",76
TASS,"Защита осужденного сопредседателя ""Голоса"" обжаловала приговор",https://tass.ru/proisshestviya/24134403,"Wed, 04 Jun 2025 13:59:18 +0300",77
TASS,Посол Палестины: мир должен перейти от слов к делу в связи с ситуацией в Газе,https://tass.ru/mezhdunarodnaya-panorama/24134377,"Wed, 04 Jun 2025 13:59:06 +0300",78
Lenta.ru,Лавров отказал журналисту в ответ на просьбу перейти на английский,https://lenta.ru/news/2025/09/27/lavrov-otkazal-zhurnalistu-v-otvet-na-prosbu-pereyti-na-angliyskiy/,"Sat, 27 Sep 2025 21:42:55 +0300",79
Lenta.ru,Лавров указал на помощь Киеву во всех «пакостях» от Лондона,https://lenta.ru/news/2025/09/27/lavrov-ukazal-na-pomosch-kievu-vo-vseh-pakostyah-ot-londona/,"Sat, 27 Sep 2025 21:40:01 +0300",80
Lenta.ru,«Зенит» разгромил аутсайдера РПЛ,https://lenta.ru/news/2025/09/27/zenit-razgromil-autsaydera-rpl/,"Sat, 27 Sep 2025 21:37:46 +0300",81
Lenta.ru,Орбан потребовал от Зеленского прекратить донимать Венгрию,https://lenta.ru/news/2025/09/27/orban-potreboval-ot-zelenskogo-prekratit-donimat-vengriyu/,"Sat, 27 Sep 2025 21:37:00 +0300",82
Lenta.ru,Лавров вспомнил легенду о Сталине и перемещении штаб-квартиры ООН,https://lenta.ru/news/2025/09/27/lavrov-vspomnil-legendu-o-staline-i-peremeschenii-shtab-kvartiry-oon/,"Sat, 27 Sep 2025 21:32:00 +0300",83
Lenta.ru,На Украине признали проблемы со снабжением ВСУ в Покровске,https://lenta.ru/news/2025/09/27/na-ukraine-priznali-problemy-so-snabzheniem-vsu-v-pokrovske/,"Sat, 27 Sep 2025 21:28:23 +0300",84
Lenta.ru,Норвегия и Нидерланды сообщили о неизвестных дронах,https://lenta.ru/news/2025/09/27/norvegiya-i-niderlandy-soobschili-o-neizvestnyh-dronah/,"Sat, 27 Sep 2025 21:28:00 +0300",85
